id,Netflix,Disney+,Stan,Binge,Name,Directors,Main Characters,Year Release,Categories,length in mins
1,1,,1,1,Mean Girls,Mark Waters,Lindsay Lohan,2004,Comedy ,97
2,1,,1,,The Truman Show,Peter Weir,Jim Carrey ,1998,Drama Science fiction,107
3,1,,,,White Chicks,Keenan Ivory Wayans,Marlon Wayans,2004,Comedy Crime film,109
4,1,,1,,The Hunger Games,Gary Ross,Jennifer Lawrence,2012,Action Science Fiction,160
5,1,,1,,Forrest Gump,Robert Zemeckis,Tom Hanks,1994,Comedy Drama,144
6,1,,,,Howl's Moving Castle,Hayao Miyazaki,Christian Bale,2004,Drama Fantasy Animation,129
7,1,,,1,Puss in Boots: The Last Wish,Joel Crawford,Antonio Banderas,2022,Adventure Comedy Animation,100
8,1,1,,,Fantastic Mr.Fox,Wes Anderson,George Clooney,2009,Adventure Comedy Animation,87
9,1,,,1,Marcel the Shell with Shoes On,Dean Fleischer Camp,Jenny Slate,2021,Comedy Animation,90
10,1,,,,Ponyo,Hayao Miyazaki,Liam Neeson,2008,Fantasy Adventure Animation,111
11,,1,,,Hidden Figures,Theodore Melfi,Taraji P. Henson,2016,Drama,127
12,,1,,,The Menu,Mark Mylod,Anya Taylor-Joy,2022,Horror Comedy,106
13,,1,,,The Proposal,Anne Fletcher,Sandra Bullock,2009,Romance Comedy,108
14,,1,,,Guardians of the Galaxy,James Gunn,Chris Pratt,2014,Science Fiction Action,122
15,1,1,1,,Fight Club,David Fincher,Brad Pitt,1999,Drama Thriller,139
16,,1,,,Elemental,Peter Sohn,Leah Lewis,2023,Comedy Fantasy Animation,102
17,,1,,,The Nightmare Before Christmas,Henry Selick,Chris Sarandon,1993,Fantasy Animation,76
18,,1,,,Ratatouille,Brad Bird,Will Arnett,2007,Comedy Animation,111
19,,1,,,Coco,Adrian Molina,Gabriel Iglesias,2017,Adventure Comedy Animation,105
20,,1,,,Soul,Pete Docter,Tina Fey,2020,Fantasy Comedy Drama Animation,100
21,1,1,1,,Gone Girl,David Fincher,Rosamund Pike,2014,Drama Thriller,149
22,,,1,,The Farewell,Lulu Wang,Awkwafina,2019,Drama Comedy,100
23,1,,1,1,13 Going on 30,Gary Winick,Jennifer Garner,2004,Romance Fantasy,98
24,,,1,,House of Gucci,Ridley Scott,Adam Driver,2021,Crime Drama,157
25,,,1,,The Whale,Darren Aronofsky,Brendan Fraser,2022,Drama,117
26,,,1,1,Mr. Peabody & Sherman,Rob Minkoff,Ty Burrell,2014,Adventure Animation,92
27,,,1,1,Spirit: Stallion of the Cimarron,Kelly Asbury,Matt Damon,2002,Adventure Animation,84
28,,,1,1,Madagascar,Tom McGrath,Chris Rock,2005,Comedy Animation,86
29,,,1,,Barbie Mariposa,Conrad Helten,Kelly Sheridan,2008,Comedy Animation,75
30,,,1,,Barbie in a Christmas Carol,William Lau,Kelly Sheridan,2008,Animation,78
31,1,,,1,Pearl,Ti West,Mia Goth,2022,Horror  ,102
32,1,,,1,Don't Worry Darling,Olivia Wilde,Florence Pugh,2022,Drama Thriller,122
33,,,1,1,Pitch Perfect,Jason Moore,Anna Kendrick,2012,Romance Comedy,112
34,,,,1,Where the Crawdads Sing,Olivia Newman,Daisy Edgar-Jones,2022,Drama Thriller,125
35,,,1,1,Clueless,Amy Heckerling,Alicia Silverstone,1995,Romance Comedy,97
36,,,,1,Corpse Bride,Tim Burton,Helena Bonham Carter,2005,Fantasy Animation,77
37,,,,1,Coraline,Henry Selick,Dakota Fanning,2009,Fantasy Animation,115
38,,,,1,ParaNorman,Chris Butler,Anna Kendrick,2012,Comedy Horror Animation,99
39,,,1,1,Kung Fu Panda,Mark Osborne,Jack Black,2008,Comedy Animation,92
40,,,,1,Pompo: The Cinéphile,Takayuki Hirao,Rinka Ôntani,2021,Drama Animation,94